標題,作者,人氣,日期,連結
Re: [新聞] 堅持出門旅遊！美國機場湧現人潮 航空圖,wawi2,20,11月27日,https://www.ptt.cc/bbs/Stock/M.1606407406.A.D0A.html
[新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,magic543,99,11月27日,https://www.ptt.cc/bbs/Stock/M.1606407955.A.564.html
[標的] 0056vs00878的選擇,s12e43w,53,11月27日,https://www.ptt.cc/bbs/Stock/M.1606411202.A.16D.html
[標的] 4976佳凌,YuanDa,4,11月27日,https://www.ptt.cc/bbs/Stock/M.1606414798.A.D68.html
Re: [標的] 0056vs00878的選擇,awss1971,3,11月27日,https://www.ptt.cc/bbs/Stock/M.1606430104.A.956.html
[公告] pannyli91 1-1-8 4-0 水桶一個月,BreezeCat,,11月27日,https://www.ptt.cc/bbs/Stock/M.1606432919.A.39E.html
[閒聊] 2020/11/27 盤中閒聊,laptic,爆,11月27日,https://www.ptt.cc/bbs/Stock/M.1606437066.A.207.html
[新聞] 游迺文上班炒股 勞動部：記過調職,jin168chen,54,11月27日,https://www.ptt.cc/bbs/Stock/M.1606438256.A.0FB.html
[新聞] 台幣明年可能挺進28元 分析師估央行子彈,d8917936,52,11月27日,https://www.ptt.cc/bbs/Stock/M.1606442119.A.556.html
Fw: [新聞] 認罪了！龍巖創辦人妻侵占善款血拚精品,zebirlin,15,11月27日,https://www.ptt.cc/bbs/Stock/M.1606443068.A.F07.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,lovecutes,98,11月27日,https://www.ptt.cc/bbs/Stock/M.1606443675.A.590.html
[標的] 這幾支股票為什麼能夠抗跌?,davidwales,,11月27日,https://www.ptt.cc/bbs/Stock/M.1606444424.A.EFA.html
[標的] 6261久元 多,cindywu50,5,11月27日,https://www.ptt.cc/bbs/Stock/M.1606445424.A.26A.html
[新聞] 〈富邦金法說〉為股價抱屈？總座喊股價淨,wade6510,23,11月27日,https://www.ptt.cc/bbs/Stock/M.1606446302.A.18A.html
[新聞] 中核華龍一號成功並網發電：中國打破國,peterlin495,31,11月27日,https://www.ptt.cc/bbs/Stock/M.1606446877.A.58F.html
[請益] 海外證券可以抵押?,organize222,7,11月27日,https://www.ptt.cc/bbs/Stock/M.1606447160.A.ED3.html
[標的] 2511太子  幫我抬,Tapqou,33,11月27日,https://www.ptt.cc/bbs/Stock/M.1606447232.A.056.html
Re: [標的] 0056vs00878的選擇,Haihu,9,11月27日,https://www.ptt.cc/bbs/Stock/M.1606447283.A.983.html
Re: [標的]  海光 2038 多,IzumiKonata,1,11月27日,https://www.ptt.cc/bbs/Stock/M.1606447875.A.1A0.html
[新聞] 數據霧煞煞？ 英國下令檢視阿斯特捷利康,CavendishJr,16,11月27日,https://www.ptt.cc/bbs/Stock/M.1606447960.A.186.html
[新聞] 8吋代工漲價 聯電、世界明年營運喊燒,hvariables,22,11月27日,https://www.ptt.cc/bbs/Stock/M.1606450843.A.BA5.html
[新聞] 神鬼理專涉Ａ客戶近3億元 高院列6大羈押禁見理由,laptic,37,11月27日,https://www.ptt.cc/bbs/Stock/M.1606451176.A.171.html
[標的] 6227 茂綸,WCisBest,9,11月27日,https://www.ptt.cc/bbs/Stock/M.1606451995.A.6E3.html
[新聞] 許銘春：勞動基金投資機制嚴謹 非一人,clubbox,35,11月27日,https://www.ptt.cc/bbs/Stock/M.1606452103.A.73D.html
[新聞] 世紀鋼小金雞世紀風電將登興櫃,qwa317,15,11月27日,https://www.ptt.cc/bbs/Stock/M.1606452649.A.023.html
[標的] 2520 冠德 多,mrnr,12,11月27日,https://www.ptt.cc/bbs/Stock/M.1606454555.A.8F4.html
[新聞] 小型衛星運載火箭有機會成功嗎？,zxcvxx,1,11月27日,https://www.ptt.cc/bbs/Stock/M.1606455312.A.831.html
[標的] 2367 燿華,qq1217la,2,11月27日,https://www.ptt.cc/bbs/Stock/M.1606455537.A.56F.html
[新聞] 中國拿葡萄酒開刀 澳洲揚言告上WTO,CavendishJr,89,11月27日,https://www.ptt.cc/bbs/Stock/M.1606456029.A.2B4.html
Re: [標的] 2609 陽明 多,sl5613,1,11月27日,https://www.ptt.cc/bbs/Stock/M.1606456167.A.D39.html
[閒聊] 2020/11/27 盤後閒聊,LECOQNIKO,26,11月27日,https://www.ptt.cc/bbs/Stock/M.1606456802.A.1BB.html
Re: [標的] 太子   起乩多,ikariamman,12,11月27日,https://www.ptt.cc/bbs/Stock/M.1606459117.A.206.html
[新聞] 耀登承銷價46元 中一張賺近4萬元,okbom,10,11月27日,https://www.ptt.cc/bbs/Stock/M.1606459589.A.1AD.html
Re: [新聞] 勞動基金重大弊端 國內投資組長涉貪操縱,sean12345678,X1,11月27日,https://www.ptt.cc/bbs/Stock/M.1606459951.A.F0A.html
